productName,productUrl,packSize,productRating,numberOfRating,actualPrice,discountPercent,offerPrice
Dabur Chyawanprakash Sugarfree,https://www.1mg.com/otc/dabur-chyawanprakash-sugarfree-otc333182,jar of 900 gm Paste,4.5,1080 ratings,₹399,12% off,₹351
Optimum Nutrition (ON) Gold Standard 100% Whey Protein Isolate Powder Double Rich Chocolate,https://www.1mg.com/otc/optimum-nutrition-on-gold-standard-100-whey-protein-isolate-powder-double-rich-chocolate-otc330832,jar of 2 lb Powder,4,40 ratings,₹3599,22% off,₹2799
Horlicks Women's Plus Caramel,https://www.1mg.com/otc/horlicks-women-s-plus-caramel-otc621844,jar of 400 gm Powder,4.6,40 ratings,₹309,6% off,₹289
Lifree Extra Absorb Pants Super Medium,https://www.1mg.com/otc/lifree-extra-absorb-pants-super-medium-otc525381,packet of 10 diapers,4.4,120 ratings,₹490,30% off,₹343
Cetaphil Gentle Skin Cleanser- For All Skin Types,https://www.1mg.com/otc/cetaphil-gentle-skin-cleanser-for-all-skin-types-otc543740,pump bottle of 250 ml Cleanser,4.6,124 ratings,₹515,20% off,₹410
Odomos Naturals Mosquito Repellent Spray,https://www.1mg.com/otc/odomos-naturals-mosquito-repellent-spray-otc497925,pump bottle of 100 ml Spray,4.2,218 ratings,₹90,14% off,₹77
Jiva Honey,https://www.1mg.com/otc/jiva-honey-otc329941,bottle of 1000 gm Paste,4.2,697 ratings,₹360,25% off,₹270
K-Y Lubricating Gel,https://www.1mg.com/otc/k-y-lubricating-gel-otc332879,tube of 82 gm Gel,4.6,183 ratings,₹286,15% off,₹243
Sri Sri Tattva Ashwagandha 500mg Tablet,https://www.1mg.com/otc/sri-sri-tattva-ashwagandha-500mg-tablet-otc330699,bottle of 60 tablets,4.3,414 ratings,₹140,15% off,₹119
Nivea Men Dark Spot Reduction Face Wash,https://www.1mg.com/otc/nivea-men-dark-spot-reduction-face-wash-otc323138,tube of 100 gm Face Wash,4.4,13 ratings,₹225,15% off,₹191
Climax Spray,https://www.1mg.com/otc/climax-spray-otc294000,pump bottle of 12 gm Spray,3,475 ratings,₹199,10% off,₹179
Mamy Poko Pants Standard Large,https://www.1mg.com/otc/mamy-poko-pants-standard-large-otc369833,packet of 34 diapers,4.1,82 ratings,₹399,7% off,₹369
Bio-Oil,https://www.1mg.com/otc/bio-oil-otc139634,bottle of 60 ml Oil,4.2,144 ratings,₹450,15% off,₹383
Aptivate Syrup Pineapple,https://www.1mg.com/otc/aptivate-syrup-pineapple-otc63369,bottle of 450 ml Syrup,4.5,140 ratings,₹250,10% off,₹225
The Moms Co. Natural Vita Rich Under Eye Cream,https://www.1mg.com/otc/the-moms-co.-natural-vita-rich-under-eye-cream-otc602363,pump bottle of 15 gm Eye Cream,4,21 ratings,₹474,25% off,₹355
Baidyanath (Nagpur) Chyawan-Fit Chyawanprash Sugar Free,https://www.1mg.com/otc/baidyanath-nagpur-chyawan-fit-chyawanprash-sugar-free-otc606178,jar of 1 kg Paste,4.3,18 ratings,₹395,18% off,₹322
Mistdress Antiseptic Bandage Spray,https://www.1mg.com/otc/mistdress-antiseptic-bandage-spray-otc267816,bottle of 75 gm Spray,4.7,13 ratings,₹250,10% off,₹225
Burnol Cream,https://www.1mg.com/otc/burnol-cream-otc144937,tube of 20 gm Cream,4.6,191 ratings,₹85.8,19% off,₹69
Himani Fast Relief Ointment,https://www.1mg.com/otc/himani-fast-relief-ointment-otc389395,tube of 45 ml Ointment,4.3,25 ratings,₹160,12% off,₹140
Boroplus Antiseptic Cream,https://www.1mg.com/otc/boroplus-antiseptic-cream-otc389387,tube of 80 ml Cream,4.7,291 ratings,₹125,9% off,₹114
Mamaearth Onion Conditioner,https://www.1mg.com/otc/mamaearth-onion-conditioner-otc550072,pump bottle of 250 ml Conditioner,4.5,13 ratings,₹349,25% off,₹261
Maxirich Vitamin C+Zinc Chewable Tablet Tangy Orange,https://www.1mg.com/otc/maxirich-vitamin-c-zinc-chewable-tablet-tangy-orange-otc653863,strip of 15 Chewable Tablets,4.6,8 ratings,₹70,20% off,₹56
