offer_code,sku,brand,name,price,sale_price,url,product_rating,is_bestseller
f9d5fe95ebda31dc,N44696673A,Athletiq,3-Piece Strength Latex Strap Set ,29.0,17.0,3-piece-strength-latex-strap-set,"{'value': 4.7, 'count': 52}",True
b2fb49a0e1dc186b,N16718791A,Pro Hanson,Yoga Mat With Carry Strap 10millimeter ,35.0,22.0,yoga-mat-with-carry-strap-10millimeter,"{'value': 4.6, 'count': 241}",False
fb249483bc08a32b,N16273426A,Ab Rocket,Abdominal Trainer Wheel Roller With Knee Mat ,30.0,22.0,abdominal-trainer-wheel-roller-with-knee-mat,"{'value': 4.4, 'count': 205}",False
e615bb5a46004b7f,N44696670A,Athletiq,Stretching Resistance Band S ,15.0,10.0,stretching-resistance-band-s,"{'value': 4.7, 'count': 44}",False
dbe462900cea7bef,N16273364A,Emfil,Yoga Mat Blue 62.6cm ,40.0,24.0,yoga-mat-blue-62-6cm,"{'value': 4.5, 'count': 185}",False
edd2329ae6356cbe,N35881030A,SkyLand,Anti-Skid Yoga Mat 6 mm - Purple 61 X  13 X 13centimeter ,69.0,53.0,anti-skid-yoga-mat-6-mm-purple-61-x-13-x-13centimeter,"{'value': 4.7, 'count': 24}",False
c7d0238b8b01951c,N20034892A,Generic,Anti-Tear Exercise Mat With Carrying Strap 60x10cm ,648.0,27.0,anti-tear-exercise-mat-with-carrying-strap-60x10cm,"{'value': 4.5, 'count': 502}",True
f4d672ad4488622b,N38597191A,rumi,Rumi Earth - Star Yoga Mat Wide - Indigo 72 X 26.8 X 4 ,379.0,,rumi-earth-star-yoga-mat-wide-indigo-72-x-26-8-x-4,"{'value': 5, 'count': 1}",False
f01842a7547ed7ae,N44696667A,Athletiq,Stylish Yoga Wheel 32 x 13cm ,69.0,40.0,stylish-yoga-wheel-32-x-13cm,"{'value': 4.7, 'count': 9}",False
f3320fd5eb15a36c,N27330175A,Fitness World,Anti-Slip Yoga Mat With Carry Strap 175x65cm ,35.0,29.0,anti-slip-yoga-mat-with-carry-strap-175x65cm,"{'value': 4.5, 'count': 122}",False
cb627339d2c37e1c,N16926711A,merrithew,Bosu Pro Balance Trainer ,160.0,,bosu-pro-balance-trainer,,False
e26758d869260e5a,N39508865A,Athletiq,5-Piece Yoga Resistance Band With Pouch ,39.0,18.0,5-piece-yoga-resistance-band-with-pouch,"{'value': 4.5, 'count': 42}",False
